"","Gender","Gene","UAS","Driver","Age"
"609","male","Tsc1","31039","Hand-Gal4",82
"610","male","Tsc1","31039","Hand-Gal4",82
"611","male","Tsc1","31039","Hand-Gal4",82
"612","male","Tsc1","31039","Hand-Gal4",82
"613","male","Tsc1","31039","Hand-Gal4",76
"614","male","Tsc1","31039","Hand-Gal4",76
"615","male","Tsc1","31039","Hand-Gal4",76
"616","male","Tsc1","31039","Hand-Gal4",76
"617","male","Tsc1","31039","Hand-Gal4",79
"618","male","Tsc1","31039","Hand-Gal4",79
"619","male","Tsc1","31039","Hand-Gal4",79
"620","male","Tsc1","31039","Hand-Gal4",79
"621","male","Tsc1","31039","Hand-Gal4",79
"622","male","Tsc1","31039","Hand-Gal4",79
"623","male","Tsc1","31039","Hand-Gal4",79
"624","male","Tsc1","31039","Hand-Gal4",79
"625","female","Tsc1","31039","Hand-Gal4",73
"626","female","Tsc1","31039","Hand-Gal4",73
"627","female","Tsc1","31039","Hand-Gal4",73
"628","female","Tsc1","31039","Hand-Gal4",73
"629","female","Tsc1","31039","Hand-Gal4",91
"630","female","Tsc1","31039","Hand-Gal4",91
"631","female","Tsc1","31039","Hand-Gal4",91
"632","female","Tsc1","31039","Hand-Gal4",91
"633","female","Tsc1","31039","Hand-Gal4",91
"634","female","Tsc1","31039","Hand-Gal4",91
"635","female","Tsc1","31039","Hand-Gal4",91
"636","female","Tsc1","31039","Hand-Gal4",91
"637","male","Tsc1","31039","Hand-Gal4",84
"638","male","Tsc1","31039","Hand-Gal4",84
"639","male","Tsc1","31039","Hand-Gal4",84
"640","male","Tsc1","31039","Hand-Gal4",84
"641","male","Tsc1","31039","Hand-Gal4",84
"642","male","Tsc1","31039","Hand-Gal4",84
"643","male","Tsc1","31039","Hand-Gal4",84
"644","male","Tsc1","31039","Hand-Gal4",84
"645","female","Tsc1","31039","Hand-Gal4",73
"646","female","Tsc1","31039","Hand-Gal4",73
"647","female","Tsc1","31039","Hand-Gal4",73
"648","female","Tsc1","31039","Hand-Gal4",73
"649","male","Tsc1","31039","Hand-Gal4",70
"650","male","Tsc1","31039","Hand-Gal4",70
