CrossName,Gender,Phenotype,Birth.Date,Death.Date,Accidental,Notes
SUNSUN2,MALE,SB,7/30/2013,9/17/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/17/2013,FALSE,
SUNSUN2,MALE,WT,7/30/2013,9/17/2013,FALSE,
PLANETPLANET2,MALE,WT,7/30/2013,9/17/2013,FALSE,
WAVEWAVE2,FEmale,SB,7/30/2013,9/17/2013,FALSE,
WAVEWAVE2,FEmale,SB,7/30/2013,9/17/2013,FALSE,
WAVEWAVE2,FEmale,SB,7/30/2013,9/17/2013,FALSE,
WAVEWAVE2,FEmale,SB,7/30/2013,9/17/2013,FALSE,
PLANETPLANET2,MALE,SB,7/30/2013,9/17/2013,FALSE,
STARSTAR1,MALE,SB,7/26/2013,9/20/2013,FALSE,
STARSTAR1,MALE,SB,7/26/2013,9/20/2013,FALSE,
STARSTAR1,MALE,SB,7/26/2013,9/20/2013,FALSE,
STARSTAR1,MALE,SB,7/26/2013,9/20/2013,FALSE,
SPIRAL1,MALE,SB,7/27/2013,9/20/2013,FALSE,
SPIRAL1,MALE,SB,7/27/2013,9/20/2013,FALSE,
SPIRAL1,MALE,SB,7/27/2013,9/20/2013,FALSE,
STAR1,FEmale,SB,7/27/2013,9/20/2013,FALSE,
STAR1,FEmale,SB,7/27/2013,9/20/2013,FALSE,
STAR1,FEmale,SB,7/27/2013,9/20/2013,FALSE,
CRESENTCRESENT1,MALE,SB,7/27/2013,9/20/2013,FALSE,
CRESENT1,FEmale,SB,7/27/2013,9/20/2013,FALSE,
CRESENT1,FEmale,SB,7/27/2013,9/20/2013,FALSE,
STARSTAR1,MALE,SB,7/28/2013,9/20/2013,FALSE,
SUN2,FEmale,WT,8/1/2013,9/20/2013,FALSE,
SPIRAL4,MALE,SB,7/27/2013,9/20/2013,FALSE,
SUN2,MALE,SB,8/1/2013,9/20/2013,FALSE,
WAVE2,MALE,WT,7/30/2013,9/20/2013,FALSE,
PLANET2,MALE,SB,7/30/2013,9/20/2013,FALSE,
WAVEWAVE1,MALE,SB,7/27/2013,9/20/2013,FALSE,
WAVEWAVE1,MALE,SB,7/27/2013,9/20/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/20/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/20/2013,FALSE,
PLANET1,MALE,SB,7/25/2013,9/20/2013,FALSE,
PLANET1,MALE,SB,7/25/2013,9/20/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/20/2013,FALSE,
CRESENT1,FEmale,SB,7/26/2013,9/20/2013,FALSE,
SPIRALSPIRALSPIRAL1,FEmale,WT,7/26/2013,9/20/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/20/2013,FALSE,
SUNSUN2,MALE,SB,7/31/2013,9/20/2013,FALSE,
SUNSUN2,MALE,SB,7/31/2013,9/20/2013,FALSE,
